x,y,z
56.15115945,10.21533925,0
56.15115877,10.21532671,0
56.15115804,10.21531417,0
56.1511576,10.21530664,0
56.15115701,10.21529661,0
56.15115468,10.21528182,0
56.1511535,10.21526176,0
56.15115132,10.21524949,0
56.15115061,10.21523695,0
56.1511493,10.21521438,0
56.15114886,10.21520686,0
56.15114794,10.21519183,0
56.15114717,10.2151793,0
56.15114626,10.21516682,0
56.15114293,10.21515987,0
56.15113528,10.21515378,0
56.15112915,10.21514993,0
56.1511232,10.21514859,0
56.15111435,10.21514529,0
56.15110682,10.21514176,0
56.15110135,10.21514789,0
56.1510956,10.21514904,0
56.15108699,10.21515076,0
56.15107841,10.21515247,0
56.1510727,10.21515361,0
56.15106274,10.2151556,0
56.15105711,10.21515672,0
56.15104869,10.21515839,0
56.15104029,10.21516005,0
56.15103171,10.21516179,0
56.1510275,10.21516262,0
56.15102034,10.21516157,0
56.15101319,10.21516052,0
56.15100608,10.21515946,0
56.15099588,10.21515407,0
56.15099028,10.21515522,0
56.1509836,10.21516152,0
56.15098419,10.21517128,0
56.15098467,10.21517859,0
56.15098851,10.21519514,0
56.15099471,10.21520383,0
56.1509983,10.21521551,0
56.15099984,10.21521769,0
56.15100614,10.21523137,0
56.15100927,10.21523822,0
56.1510168,10.21524673,0
56.15102426,10.21525279,0
56.15103033,10.21525913,0
56.15103595,10.21525809,0
56.1510413,10.21525212,0
56.15104846,10.21524831,0
56.15105538,10.21524203,0
56.15106218,10.21523575,0
56.15106753,10.21522974,0
56.1510729,10.21522372,0
56.15107859,10.21522265,0
56.15108571,10.21522131,0
56.1510914,10.21522023,0
56.15109771,10.21522911,0
56.15109966,10.21523629,0
56.15110037,10.21524874,0
56.15110127,10.21526367,0
56.1511003,10.21527139,0
56.15109819,10.21528434,0
56.15109607,10.21529729,0
56.15109665,10.21530724,0
56.15109724,10.21531718,0
56.15110068,10.21532664,0
56.15110699,10.21533561,0
56.15111187,10.21534484,0
56.15111639,10.21534909,0
56.15112357,10.21534788,0
56.15112499,10.21534764,0
